Org;2019;2020;2021;2022
Blekinge tekniska högskola;9;5;6;19
Chalmers tekniska högskola;108;114;111;100
Folkhälsomyndigheten;1;1;;
Formas;1;2;1;1
Gymnastik- och idrottshögskolan;4;1;2;1
Göteborgs universitet;196;317;330;317
Handelshögskolan i Stockholm;6;1;1;4
Högskolan Dalarna;7;11;11;12
Högskolan i Borås;11;12;6;12
Högskolan i Gävle;5;12;20;15
Högskolan i Halmstad;4;7;9;8
Högskolan i Skövde;9;8;7;15
Högskolan Kristianstad;1;6;13;14
Högskolan Väst;17;24;9;18
Institut Mittag-Leffler;1;;;
Karlstads universitet;19;16;20;16
Karolinska institutet;288;504;541;556
Kungl. Tekniska högskolan;108;165;144;117
Linköpings universitet;108;166;157;158
Linnéuniversitetet;38;52;46;42
Luleå tekniska universitet;60;69;58;62
Lunds universitet;288;416;458;412
